,screen_name,stance,med
258,memphistigerjeb,1,False
259,spokanetom,1,False
260,ms101phd,-1,False
261,KRS_RogueShark,1,False
262,HeadComplains,1,False
263,mjkeegan1127,1,False
264,CIDRAP,1,False
265,messageblackman,1,False
266,DhruvKhullar,1,True
267,Washerein17,1,False
268,realgoodbird,1,False
269,tdtnews,0,False
270,NBCPhiladelphia,0,False
271,_DanielJSanchez,1,False
272,Surgeon_General,0,True
273,JustesenDeann,0,False
274,Boghuma,1,True
275,cmetian,1,True
276,AJBlackston,0,False
277,nancook,-1,False
278,algorithmia,0,False
279,debraswank,1,False
280,HRTechSeries,1,False
281,TheRegReview,0,False
282,baumhedlund,-1,False
283,RS_COVID19,0,False
284,WFSBnews,0,False
285,washingtonpost,0,False
286,BestInFlightLDJ,-1,False
288,matt_dragon,1,False
289,kevinhaddad08,1,False
290,GeneOnlineNews,1,False
291,fredwalton216,1,False
292,joefryer,0,False
293,UUJames,0,False
294,cardona1369,1,False
295,dianeraucher,0,False
296,b9n10nt,0,False
297,BCCTDanielle,0,False
298,FreeWillArdmore,1,False
299,Allergygal1,1,False
300,Donnie_Ashworth,1,False
301,KiKiPosting,0,False
302,kathrynlowenc,1,False
303,IPStevieB,0,False
304,lettucewrangler,0,False
305,877CallLaw,0,False
306,DrMRosenblatt,1,False
307,WKUSPCOL,0,False
309,MAXINXIN2,1,False
310,hulagangster,0,False
311,cafepharma,-1,False
312,SunnyD1491,0,False
313,Kyuchan34267788,1,False
314,MarketCurrents,0,False
315,agyeitah,-1,False
316,NYTHealth,0,False
317,cafepharma,1,False
318,AAPSonline,-1,True
319,madras_bertha,0,False
321,J_EmpyreanGoals,1,False
322,tuscaloosanews,1,False
324,MalcontentmentT,0,False
325,WBNG12News,0,False
326,thenewsstar,1,False
328,JajaAgpalo,0,False
329,Lucym03,1,True
330,John45733648,1,False
331,KUOW,1,False
332,HayMaiya,0,False
333,ISLOpinions,-1,False
334,WKBW,0,False
335,theoakridger,1,False
337,KurtCouchman,1,False
338,PeoplesPharmacy,0,False
339,fundNIH,0,False
340,CBS21NEWS,0,False
341,PsychicHealerC,-1,False
342,thejoshuablog,0,False
343,MarkAT54292258,1,False
346,MSuzman,1,False
347,VSNPenn,1,False
348,360mediaX,1,False
349,FindBuzzOrg,1,False
350,dragonadvantage,0,False
351,RLymangrover,1,False
352,StarTribune,1,False
353,paulmarc999,1,False
354,ArkaciaVentures,0,False
355,matt_ir_guru,0,False
356,EINPharmaNews,0,False
357,NathanTMills,1,False
358,glassmanamanda,-1,False
359,seannery_o_cnnr,1,False
360,christoferguson,1,False
361,Kristibrokaw,1,False
362,KirseyBelle,1,False
363,gadsdentimes,1,False
364,rmchavin,0,False
