twitter_id,dem_count,rep_count
108556027,19,2
907389979042521089,4,0
44372211,0,0
710162591486611457,0,0
839099917121511425,0,1
136655165,67,1
1226203788576317440,0,0
800702778515427329,0,0
995788986,0,0
122157034,1,0
110920660,0,0
973790882,3,0
1045025383647727617,1,1
1198891404979658754,4,0
818927131883356161,0,13
1075023977364553728,2,0
1650280152,4,5
1202511871229562882,0,0
1436917579,0,0
52236118,4,1
961998170438930432,0,0
480135960,17,32
18557134,1,0
816338706391060480,41,0
14572383,1,0
1382688516010819586,0,0
1276933601247068162,0,0
4838090415,5,0
1475477342,2,0
885617954284593153,6,0
844935768707600385,0,0
806203781020909568,3,0
15732983,0,0
1735390068,1,0
7213952,0,0
899785278839238656,0,1
36541344,5,5
1112581472362336256,0,0
1251258067515322370,0,0
50432286,66,38
1033204996643336193,0,0
1138927973820534785,6,1
933665140225884160,0,0
3274251432,3,0
373382787,10,1
838110403,2,2
1187821619110006784,0,14
123723411,0,0
25568260,7,0
735405883048480768,0,0
3364200915,3,1
769072378265690112,0,0
147991962,4,2
1061168240062169088,0,0
504584963,2,0
99319739,0,0
1366818243168505856,7,0
1236250039191814144,6,13
832892278322524162,1,0
629703274,0,0
57946038,0,0
856075369262321664,0,0
1358396323603521536,0,0
1133166993945825285,1,0
728676992053182464,0,0
3245809837,0,0
1213958877164687361,31,3
3433597198,0,0
108664560,9,0
866190600453750784,0,0
2979676019,1,0
17175213,0,0
1218091151707664384,0,0
1177089921326075904,0,0
817890742429425664,4,47
1004882628695248896,1,0
1275937118368468997,3,0
1255809819115569152,1,1
532300671,0,0
1240020219697004548,0,0
2845798705,3,0
7978322,0,0
98207807,12,4
765203266783285250,0,0
1052586865541427201,0,5
241581504,5,1
1393837994105352196,1,1
14278608,18,0
136425344,84,22
162571843,0,0
741271643960414213,32,7
16474403,3,1
14859966,19,0
15153064,0,1
1250116796285202432,0,0
1070733768,5,1
1271749327,0,0
1969317824,0,0
866095377828765696,62,3
35208697,3,0
2923161663,1,0
1231808903714889730,3,0
293026408,27,8
232357613,29,5
1276964799621074946,12,0
467825393,0,1
27471910,0,0
1856821399,0,0
1102929069417521153,0,1
714597962865905664,0,0
1362497282,6,0
878381835167858688,0,4
469680706,0,1
3128310180,3,1
884737728147017728,15,0
18110437,0,0
1274017084867928064,1,0
1961981076,22,3
2304766592,0,33
855108354066194436,0,0
736632654666158081,5,1
1324757951328841729,0,0
855430481910915072,0,0
1051852422820196354,1,1
1410720986,0,2
26677508,2,0
20148675,0,11
1315366526430646277,0,0
2421047521,7,1
3942898279,0,0
241502713,0,0
246178914,0,0
99164529,0,0
1386283110258528265,0,0
1118789222842789889,0,0
1278805976980828160,0,0
3506372239,6,0
191889484,0,0
1283516733840478208,0,9
1109584340,1,2
592725236,0,0
91526112,0,13
470794816,35,1
133765330,1,0
1218891014,7,0
1434013968,1,1
2427434536,0,0
1032958869604130817,0,0
4717260732,2,0
208320903,107,1
1433140906304147458,0,0
2328481158,0,0
151982363,0,0
527238699,3,0
192477353,65,4
1227440297170345984,0,0
184724323,7,2
1010562738840481793,1,1
1183064420320198656,0,0
3176796534,2,36
65724900,0,0
1393270441360384001,1,20
1351307158676242432,0,9
17976894,23,1
1199452192501047302,9,0
1442829222,2,0
60610778,0,0
1373637253885435907,0,0
77801395,6,0
1060707642228662272,0,0
795636036,7,0
1103964709,5,0
231169484,56,6
1081481282280775681,0,1
1227227778455658496,19,3
86590910,0,1
