twitter_handle,party,twitter_id
RepMikeHonda,Democratic Party,16583468
RepMikeQuigley,Democratic Party,56864092
RepOHalleran,Democratic Party,808416682972770304
RepPaulTonko,Democratic Party,84119348
RepPerlmutter,Democratic Party,20552026
RepPeteAguilar,Democratic Party,3018670151
RepPeterDeFazio,Democratic Party,252249233
RepRaskin,Democratic Party,806906355214852096
RepRaulGrijalva,Democratic Party,28602948
RepRichardNeal,Democratic Party,442824717
RepRichmond,Democratic Party,267854863
RepRickLarsen,Democratic Party,404132211
RepRoKhanna,Democratic Party,816298918468259841
RepRobinKelly,Democratic Party,1339931490
RepRonKind,Democratic Party,112740986
RepRoybalAllard,Democratic Party,479872233
RepRubenGallego,Democratic Party,2966570782
RepSarbanes,Democratic Party,364415553
RepSchakowsky,Democratic Party,85896319
RepSchneider,Democratic Party,1071840474
RepSchrader,Democratic Party,20545793
RepScottPeters,Democratic Party,1135486501
RepSeanMaloney,Democratic Party,1072467470
RepSheaPorter,Democratic Party,126171100
SenatorSinema,Democratic Party,1080844782
RepSires,Democratic Party,18696134
RepSpeier,Democratic Party,24913074
RepStephMurphy,Democratic Party,796183515998068736
RepStephenLynch,Democratic Party,310310133
RepSteveIsrael,Democratic Party,20002401
RepSwalwell,Democratic Party,942156122
RepTedDeutch,Democratic Party,137794015
RepTedLieu,Democratic Party,3044993235
RepTerriSewell,Democratic Party,381152398
RepThompson,Democratic Party,303861808
RepTimRyan,Democratic Party,13491312
RepTimWalz,Democratic Party,1262814457
RepTomSuozzi,Democratic Party,816705409486618624
RepValDemings,Democratic Party,798973032362606600
RepVeasey,Democratic Party,1074129612
RepVisclosky,Democratic Party,193872188
RepWilson,Democratic Party,234014087
RepYvetteClarke,Democratic Party,240812994
RepZoeLofgren,Democratic Party,267938462
RonWyden,Democratic Party,250188760
SanfordBishop,Democratic Party,249410485
SchatzforHawaii,Democratic Party,1284467173
SenAngusKing,Democratic Party,1068481578
MichaelBennet,Democratic Party,45645232
SenBillNelson,Democratic Party,20597460
SenBlumenthal,Democratic Party,278124059
SenBobCasey,Democratic Party,171598736
SenBooker,Democratic Party,2167097881
SenBrianSchatz,Democratic Party,1262099252
SenCoonsOffice,Democratic Party,435500714
SenCortezMasto,Democratic Party,811313565760163844
SenDonnelly,Democratic Party,216503958
SenDuckworth,Democratic Party,1058520120
SenFeinstein,Democratic Party,476256944
SenFranken,Democratic Party,171968009
SenGaryPeters,Democratic Party,236511574
SenGillibrand,Democratic Party,72198806
SenJackReed,Democratic Party,486694111
SenJeffMerkley,Democratic Party,29201047
timkaine,Democratic Party,172858784
SenMarkey,Democratic Party,21406834
SenSanders,Democratic Party,29442313
SenSchumer,Democratic Party,17494010
SenSherrodBrown,Democratic Party,43910797
SenStabenow,Democratic Party,76456274
SenWarren,Democratic Party,970207298
SenWhitehouse,Democratic Party,242555999
Sen_JoeManchin,Democratic Party,234374703
SenateApprops,Democratic Party,352534407
SenateDems,Democratic Party,73238146
SenatorBaldwin,Democratic Party,1074518754
SenatorBarb,Democratic Party,132278386
SenatorBoxer,Democratic Party,15442036
SenatorCantwell,Democratic Party,117501995
SenatorCardin,Democratic Party,109071031
SenatorCarper,Democratic Party,249787913
SenatorDurbin,Democratic Party,247334603
SenatorHassan,Democratic Party,946549322
SenatorHeitkamp,Democratic Party,1061029050
SenatorLeahy,Democratic Party,242836537
SenatorMenendez,Democratic Party,18695134
SenatorReid,Democratic Party,16789970
SenatorShaheen,Democratic Party,109287731
SenatorTester,Democratic Party,515822213
SenatorTomUdall,Democratic Party,60828944
SenatorWarner,Democratic Party,19863977
SherrodBrown,Democratic Party,24768753
StaceyPlaskett,Democratic Party,2724095695
SupJaniceHahn,Democratic Party,339852137
TheDemocrats,Democratic Party,14377605
TomCarperforDE,Democratic Party,381577682
TomUdallPress,Democratic Party,325231436
TulsiPress,Democratic Party,1064206014
USRepKCastor,Democratic Party,1880674038
USRepKeating,Democratic Party,232992031
USRepMikeDoyle,Democratic Party,39249305
USRepRHinojosa,Democratic Party,239905257
USRepRickNolan,Democratic Party,1055685948
LeaderHoyer,Democratic Party,22012091
WydenForOregon,Democratic Party,122124607
WydenPress,Democratic Party,292495654
alfranken,Democratic Party,7334402
amyklobuchar,Democratic Party,33537967
brianschatz,Democratic Party,47747074
cbrangel,Democratic Party,21312077
chakafattah,Democratic Party,48086014
chelliepingree,Democratic Party,14984637
chuckschumer,Democratic Party,1872999342
clairecmc,Democratic Party,16160352
collinpeterson,Democratic Party,115676070
coons4delaware,Democratic Party,109931845
daveloebsack,Democratic Party,510516465
dscc,Democratic Party,14466538
ewarren,Democratic Party,357606935
gracenapolitano,Democratic Party,161411080
jahimes,Democratic Party,31611298
janschakowsky,Democratic Party,24195214
jontester,Democratic Party,16473577
keithellison,Democratic Party,14135426
louiseslaughter,Democratic Party,63169388
mazieforhawaii,Democratic Party,169198625
maziehirono,Democratic Party,92186819
mikecapuano,Democratic Party,75785294
nikiinthehouse,Democratic Party,1156083081561985024
pedropierluisi,Democratic Party,34972633
SenatorLujan,Democratic Party,19318314
repblumenauer,Democratic Party,15954997
repcleaver,Democratic Party,163570705
repdavidscott,Democratic Party,168673083
repdinatitus,Democratic Party,122174004
repdonnaedwards,Democratic Party,82649553
repjimcooper,Democratic Party,22523087
JoeCrowleyNY,Democratic Party,111635980
repjohnlewis,Democratic Party,29450962
repmarkpocan,Democratic Party,1206227149
repsandylevin,Democratic Party,25781141
rosadelauro,Democratic Party,140519774
sethmoulton,Democratic Party,248495200
stabenow,Democratic Party,20113797
tammybaldwin,Democratic Party,87510313
tomudall,Democratic Party,14140370
AustinScottGA08,Republican Party,234797704
BankingGOP,Republican Party,1242040290
CarlyFiorina,Republican Party,65691824
ChrisChristie,Republican Party,1347285918
ChuckGrassley,Republican Party,10615232
ConawayTX11,Republican Party,295685416
CongMikeSimpson,Republican Party,76132891
CongressmanDan,Republican Party,242761889
CongressmanGT,Republican Party,18967498
CongressmanHice,Republican Party,2975091705
DanaRohrabacher,Republican Party,19139963
DarrellIssa,Republican Party,22509548
DrNealDunnFL2,Republican Party,815952318487298048
DrPhilRoe,Republican Party,52503751
EPWGOP,Republican Party,1055515873
EnergyGOP,Republican Party,82657929
FinancialCmte,Republican Party,42924141
GOP,Republican Party,11134252
GOPHELP,Republican Party,292972175
GOPLeader,Republican Party,19739126
GOPoversight,Republican Party,22508473
GOPpolicy,Republican Party,10840862
GovMikeHuckabee,Republican Party,15416505
GrahamBlog,Republican Party,14845376
GrassleyPress,Republican Party,294126378
GreggHarper,Republican Party,23712174
HASCRepublicans,Republican Party,20192403
HerreraBeutler,Republican Party,242926427
HouseAdmnGOP,Republican Party,224391627
HouseAppropsGOP,Republican Party,301549400
HouseCommerce,Republican Party,114756202
HouseGOP,Republican Party,15207668
HouseHomeland,Republican Party,1104756493633478656
HouseJudiciary,Republican Party,246357149
HouseScience,Republican Party,22053641
HouseSmallBiz,Republican Party,861611548250394624
HouseVetAffairs,Republican Party,282093902
InhofePress,Republican Party,20546536
JebBush,Republican Party,113047940
JeffFlake,Republican Party,16056306
JeffFortenberry,Republican Party,18805303
JerryMoran,Republican Party,18632666
JimInhofe,Republican Party,7270292
Jim_Jordan,Republican Party,18166778
JohnBoozman,Republican Party,5558312
JohnCornyn,Republican Party,13218102
JohnKasich,Republican Party,18020081
JudgeCarter,Republican Party,18030431
JudgeTedPoe,Republican Party,74198348
KeithRothfus,Republican Party,1155212191
KenCalvert,Republican Party,22545491
LamarSmithTX21,Republican Party,15856366
MacTXPress,Republican Party,377534571
MarioDB,Republican Party,37094727
MarkAmodeiNV2,Republican Party,402719755
MarshaBlackburn,Republican Party,278145569
McConnellPress,Republican Party,339822881
MikeCrapo,Republican Party,600463589
MikeKellyPA,Republican Party,935368364
NatResources,Republican Party,41445718
PatTiberi,Republican Party,912608010
PatrickMcHenry,Republican Party,27676828
PeteSessions,Republican Party,24735461
PeterRoskam,Republican Party,20015903
PortmanPress,Republican Party,240790556
RandPaul,Republican Party,216881337
Raul_Labrador,Republican Party,246341769
RealBenCarson,Republican Party,1180379185
RepAbraham,Republican Party,2962891515
RepAdrianSmith,Republican Party,296245061
RepAndyBarr,Republican Party,1089334250
RepAndyHarrisMD,Republican Party,960962340
RepAnnWagner,Republican Party,1051446626
RepArrington,Republican Party,816284664658874368
RepBillJohnson,Republican Party,211530910
RepBobGibbs,Republican Party,234822928
RepBradWenstrup,Republican Party,518644221
RepBrianBabin,Republican Party,2929491549
RepBrianMast,Republican Party,814103950404239360
RepBuddyCarter,Republican Party,2973870195
RepByrne,Republican Party,2253968388
RepCharlieDent,Republican Party,242376736
realC_Collins,Republican Party,1353862784707162116
SenChrisSmith,Republican Party,46149106
RepChrisStewart,Republican Party,1072008757
RepChuck,Republican Party,235190657
RepComstock,Republican Party,2933760046
carloslcurbelo,Republican Party,2853309155
RepDLamborn,Republican Party,584012853
RepDaveJoyce,Republican Party,976969338
RepDavid,Republican Party,229197216
RepDavidValadao,Republican Party,1128514404
RepDavidYoung,Republican Party,314205957
repdesantis,Republican Party,1070738132881031169
DennisRossSEU,Republican Party,33655490
