twitter_handle,party,twitter_id
repandylevin,Democratic Party,1080277407867772930
GovWhitmer,Democratic Party,102071743
RepAngieCraig,Democratic Party,1080222360643485698
RepDeanPhillips,Democratic Party,1061310112013434882
Ilhan,Democratic Party,1082334352711790593
RepFischbach,Republican Party,1344375287484723205
RepPeteStauber,Republican Party,1075830599007510535
SenAmyKlobuchar,Democratic Party,22044727
SenTinaSmith,Democratic Party,941000686275387392
GovTimWalz,Democratic Party,1064603540956565504
RepCori,Democratic Party,1002630999052865536
RepBlaine,Republican Party,1849261916
rephartzler,Republican Party,237763317
RepSamGraves,Republican Party,29766367
SenHawleyPress,Republican Party,1080960924687704064
GovParsonMO,Republican Party,1003672320781807616
governorcnmi,Republican Party,1201313519662067712
reptrentkelly,Republican Party,3317799825
RepMichaelGuest,Republican Party,1081243468327018496
CongPalazzo,Republican Party,299883942
SenHydeSmith,Republican Party,983348251972816896
tatereeves,Republican Party,259341329
RepRosendale,Republican Party,1344751420139040783
GovGianforte,Republican Party,1343969773726494721
RepCawthorn,Republican Party,1344007696555663360
RepAdams,Democratic Party,2916086925
RepTedBudd,Republican Party,817138492614524928
RepDeborahRoss,Democratic Party,1348683154815655940
RepGregMurphy,Republican Party,1173978070535024642
RepKManning,Democratic Party,1337115670161608712
RepDavidRouzer,Republican Party,834069080
RepDanBishop,Republican Party,1176522535531360257
NC_Governor,Democratic Party,813792250497028102
RepArmstrongND,Republican Party,1080515866255593472
DougBurgum,Republican Party,518700708
repdonbacon,Republican Party,818975124460335106
GovRicketts,Republican Party,2891165960
RepChrisPappas,Democratic Party,1067748650485497862
Senatorhassan,Democratic Party,946549322
GovChrisSununu,Republican Party,816282120767291392
RepSherrill,Democratic Party,1080569698536878081
RepAndyKimNJ,Democratic Party,1078771848882593793
frankpallone,Democratic Party,31801993
RepMalinowski,Democratic Party,1080898026418384897
senbooker,Democratic Party,2167097881
GovMurphy,Democratic Party,948946378939609089
Rep_Stansbury,Democratic Party,1404519992582942724
RepHerrell,Republican Party,1344416719260016641
RepTeresaLF,Democratic Party,1345147845926670337
martinheinrich,Democratic Party,1099199839
GovMLG,Democratic Party,1070083706822438912
markamodeinv2,Republican Party,402719755
RepSusieLee,Democratic Party,1079061579973439488
RepHorsford,Democratic Party,389840566
sencortezmasto,Democratic Party,811313565760163844
GovSisolak,Democratic Party,1080586433088258048
RepMalliotakis,Republican Party,1344750588026900481
RepAOC,Democratic Party,1079104563280527364
RepRitchie,Democratic Party,1276403757224546304
RepBowman,Democratic Party,1344389506963808264
RepMondaire,Democratic Party,1345883634046279681
repseanmaloney,Democratic Party,1072467470
repdelgado,Democratic Party,1080485692298444800
RepGarbarino,Republican Party,1344349650447433729
reppaultonko,Democratic Party,84119348
RepTenney,Republican Party,797201048490430465
TomReedNY23,Republican Party,252819323
repjoemorelle,Democratic Party,1064595993222615040
repbrianhiggins,Democratic Party,33576489
RepJacobs,Republican Party,1276232539510919168
repkathleenrice,Democratic Party,2970462034
repgregorymeeks,Democratic Party,22812754
gillibrandny,Democratic Party,899978622416695297
GovKathyHochul,Democratic Party,2977083957
repstevechabot,Republican Party,237750442
RepShontelBrown,Democratic Party,1456381091598700556
RepBalderson,Republican Party,1037341536592310272
RepAGonzalez,Republican Party,1054381765224210432
repbobgibbs,Republican Party,234822928
warrendavidson,Republican Party,742735530287304704
GovMikeDeWine,Republican Party,18820392
repkevinhern,Republican Party,1067818539179024386
RepBice,Republican Party,1344260196227555334
GovStitt,Republican Party,865210877678686208
repbonamici,Democratic Party,558769636
RepBentz,Republican Party,1345788865911656454
repschrader,Democratic Party,20545793
OregonGovBrown,Democratic Party,3023272478
RepBrianFitz,Republican Party,816303263586914304
RepFredKeller,Republican Party,1136060761422405633
RepJohnJoyce,Republican Party,1082311988926124036
GReschenthaler,Republican Party,4205133682
RepConorLamb,Democratic Party,984456621417000960
CongBoyle,Democratic Party,4304448314
RepDean,Democratic Party,567508925
repmgs,Democratic Party,1067541214671577093
rephoulahan,Democratic Party,1052896620797460481
RepSusanWild,Democratic Party,1069636653353000962
RepMeuser,Republican Party,1080574793630527505
sentoomey,Republican Party,221162525
GovernorTomWolf,Democratic Party,2978837542
senjackreed,Democratic Party,486694111
GovDanMcKee,Democratic Party,158238919
RepNancyMace,Republican Party,1343597700542038017
RepTimmons,Republican Party,1079770852302958592
henrymcmaster,Republican Party,16335288
RepDustyJohnson,Republican Party,1074782372594413569
senjohnthune,Republican Party,296361085
senatorrounds,Republican Party,2955485182
RepHarshbarger,Republican Party,1345787285179162624
RepTimBurchett,Republican Party,1028854804087492613
DesJarlaisTN04,Republican Party,235312723
repjohnrose,Republican Party,1081312310059253763
RepMarkGreen,Republican Party,1080477288955826176
RepDavidKustoff,Republican Party,816012124505931780
SenatorHagerty,Republican Party,1346873610875654147
GovBillLee,Republican Party,1084924525232513025
RepPfluger,Republican Party,1341120751399809026
RepRonnyJackson,Republican Party,1341903465610686464
RepGonzalez,Democratic Party,818536152588238849
RepEscobar,Democratic Party,1075517806551154689
RepDanCrenshaw,Republican Party,1080894931311431682
RepChipRoy,Republican Party,1082790600292925440
RepTroyNehls,Republican Party,1347318288850825217
RepTonyGonzales,Republican Party,1343627416120532992
RepBethVanDuyne,Republican Party,1339633259349745670
RepCloudTX,Republican Party,1039879658400112640
RepSylviaGarcia,Democratic Party,1080587263132733442
RepVanTaylor,Republican Party,1075040139351597056
RepColinAllred,Democratic Party,1078355119920562176
RepLloydDoggett,Democratic Party,153944899
RepPatFallon,Republican Party,1343258042704527362
RepEllzey,Republican Party,1366523868253458437
RepFletcher,Democratic Party,1075904377221722113
POTUS,Democratic Party,1349149096909668363
RepBlakeMoore,Republican Party,1337452596093587462
repchrisstewart,Republican Party,1072008757
RepJohnCurtis,Republican Party,931614483050414080
RepBurgessOwens,Republican Party,1344481217685692416
SenatorRomney,Republican Party,1078693601356509184
SpencerJCox,Republican Party,69663100
RepWexton,Democratic Party,1017819745880543238
RepElaineLuria,Democratic Party,1080292515939565568
RepBobGood,Republican Party,1345536897838436353
RepBenCline,Republican Party,1072158357237174272
RepSpanberger,Democratic Party,1078771401497161728
govbryan,Democratic Party,1099290316920799233
GovPhilScott,Republican Party,545107258
RepStricklandWA,Democratic Party,1343646545955213312
herrerabeutler,Republican Party,242926427
repnewhouse,Republican Party,2930635215
repkimschrier,Democratic Party,1080462532815532032
pattymurray,Democratic Party,293131808
GovInslee,Democratic Party,1077214808
RepBryanSteil,Republican Party,1075205691621720064
RepFitzgerald,Republican Party,1004891731
RepGrothman,Republican Party,2976606250
RepTiffany,Republican Party,1267841066335682562
GovEvers,Democratic Party,234896532
RepAlexMooney,Republican Party,2964526557
RepCarolMiller,Republican Party,1081318716573470720
WVGovernor,Republican Party,607332953
RepLizCheney,Republican Party,816719802328715264
SenLummis,Republican Party,22831059
senjohnbarrasso,Republican Party,202206694
GovernorGordon,Republican Party,1081334766924754944
bruce_westerman,Republican Party,342677019
DrPaulGosar,Republican Party,872148729184362497
kyrstensinema,Democratic Party,20747881
ericswalwell,Democratic Party,377609596
Tcardenas,Democratic Party,2543742324
aguilarpete,Democratic Party,41533245
GavinNewsom,Democratic Party,11347122
jaredpolis,Democratic Party,15361570
JahanaHayes,Democratic Party,4788702195
KatCammack,Republican Party,155253505
RonDeSantisFL,Republican Party,487297085
RaphaelWarnock,Democratic Party,234412394
KimReynoldsIA,Republican Party,31591773
SeanCasten,Democratic Party,66804351
JBPritzker,Democratic Party,45550693
Fjmrvan,Democratic Party,255831472
Jim_Banks,Republican Party,14836282
JamesComer,Republican Party,838462994
BillCassidy,Republican Party,55677432
pjfm,Republican Party,20393417
GMMD4Greenville,Republican Party,4698391652
armstrong_km,Republican Party,1426714956
BenSasse,Republican Party,1480852568
benraylujan,Democratic Party,91125308
RitchieTorres,Democratic Party,1247612029
TimScottSC,Republican Party,
GregAbbott_TX,Republican Party,90651198
JoeBiden,Democratic Party,939091
mittromney,Republican Party,50055701
Mstrickland747,Democratic Party,738738874571100164
JimJusticeWV,Republican Party,3167789983
